time,2G北美规模,3G北美规模,4G北美规模,北美整体规模,2G EMEA规模,3G EMEA规模,4G EMEA规模,EMEA整体规模,2G亚太规模,3G亚太规模,4G亚太规模,亚太整体规模,2G CALA规模,3G CALA规模,4G CALA规模,CALA整体规模
2007-04-01,17.55569865830493,1.420107094634596,,18.97580575293952,23.82653399937957,11.6232456626705,,35.44977966205007,32.00552002698934,7.001595900165224,,39.00711592715456,4.670267438333548,0.7023710251499936,,5.372638463483542
2007-07-01,19.79427404495993,1.134239261176476,,20.9285133061364,26.80558696531791,12.3234388334852,,56.23990034435162,39.09205495359106,5.870500964643902,,44.96255591823496,5.87618918037822,1.870455397273208,,7.746644577651429
2007-10-01,19.37738935302751,1.582841371172282,,20.96023072419979,30.92932700836124,13.36565931492873,,44.29498632328997,43.27471025657852,6.873254276492742,,81.41299457540465,8.358989998026608,2.341785876695346,,10.70077587472196
2008-01-01,15.63949000810562,2.911225875165962,,18.55071588327159,22.36249713080306,15.61725967853886,,37.97975680934193,37.65776524166246,9.047431684627282,,46.70519692628974,5.349249141622302,3.275177200981579,,8.624426342603881
2008-04-01,5.468496379448345,4.115048798726069,,15.05204155762276,25.70237387430874,18.1729614105422,,43.87533528485095,46.96551569018482,13.5866135892462,,60.55212927943101,4.468804545005508,4.261882545819652,,8.73068709082516
2008-07-01,,5.410554197281972,,,21.55459695637907,17.42503855922022,,38.97963551559928,40.8457673122032,12.32804001016014,,53.17380732236334,4.314406622258417,4.836027166185585,,9.150433788444001
2008-10-01,11.26750428416519,5.41927197058509,,16.68677625475028,25.08089942513506,18.68682544500624,,43.7677248701413,45.52087143559363,15.17929536847373,,60.70016680406736,4.619809589641666,4.639070026608605,,9.258879616250272
2009-01-01,8.408382383084325,6.998192303856951,,15.40657468694128,20.52729435659334,15.80938798744729,,36.33668234404063,32.18092034563711,20.48030079323935,,52.66122113887646,2.161125321636038,2.878510337726961,,5.039635659362999
2009-04-01,7.987433232944511,8.462537157283199,,16.44997039022771,19.42932356846559,16.95029104166602,,36.3796146101316,33.58320522683587,20.70118030268123,,54.2843855295171,2.930108235675463,3.280887991848461,,6.210996227523924
2009-07-01,6.291518872226948,11.84002878347383,,18.13154765570077,17.58139787958563,32.48570712654341,,35.85762595953575,28.53501335948089,19.83670878125418,,48.37172214073507,2.101319087423827,3.520805202926215,,5.622124290350042
2009-10-01,8.29560865194599,13.48017043355153,,21.77577908549752,18.92598301229337,25.65376466790017,,44.57974768019353,24.61781018754395,23.31781173972173,,47.93562192726567,2.369601684943628,3.862698878452385,,6.232300563396014
2010-01-01,7.310902938709225,11.19591451261057,,18.50681745131979,16.28226073192761,21.3136598670121,,37.59592059893971,9.49071940126705,18.4797515608881,,37.4611903634222,1.745304495763228,2.639917279195194,,4.385221774958421
2010-04-01,8.426530325494806,14.36011176818302,,22.78664209367782,16.0676428454389,21.97675733415496,,38.04440017959385,15.86137460931442,17.72816354180515,,33.58953815111956,2.127847590313319,4.431637744968466,,6.559485335281785
2010-07-01,8.81935788462719,12.75025051904433,,21.56960840367152,13.41378078939892,21.02888055551333,,34.44266134491225,18.54145245215854,19.45053097365108,,37.99198342580962,2.064569672310608,4.813685031209374,,6.878254703519982
2010-10-01,9.708873154448618,17.026328521328594,3.060595083793182,30.28439043481827,17.23047950080809,27.28733919271992,1.401677996088604,45.91949668961662,27.26849776356782,31.24997338952069,0.7973811422235957,59.3158522953121,2.572387787229385,7.220912425051781,,9.793300212281165
2011-01-01,13.08518638233503,11.9085003289755,2.704006237765605,27.69769294907613,14.36557169363453,21.72346334591162,1.429290886088308,37.51832592563446,23.83288299316008,23.85947581863244,0.758693881951763,48.45105269374429,2.114515761611476,5.491403402116806,,7.605919163728282
2011-04-01,12.89068209205602,13.26042687929853,2.557701639869425,28.70881061122397,14.80732034657362,24.19216859533122,1.346672453019212,40.34616139492405,24.38780615000031,29.31048501669633,1.000412798692467,54.6987039653891,1.980817767385723,6.630825799750768,,8.611643567136491
2011-07-01,12.94209322719202,8.030875721838473,5.160446373945836,26.13341532297633,14.54953046820425,20.86177747554151,2.077387540768348,37.4886954845141,23.41548006465067,23.65650254901131,1.478430102764629,48.5504127164266,2.721954222984134,7.104909312631534,,9.826863535615669
2011-10-01,8.580465453402214,6.390890888428446,4.745674715292118,19.71703105712278,14.13341803169349,23.29308041486907,3.112193508546796,40.53869195510936,21.96747600300632,27.97068081666244,2.651667489140069,52.58982430880883,2.598290419698859,8.199773264856965,0.02772659254882257,10.82579027710465
2012-01-01,7.518448625578715,9.686888485945229,6.633036823646287,23.83837393517023,9.697069598641919,17.43807088100131,2.156258103281427,29.29139858292466,27.0875785646854,24.85094118346737,4.24635225336637,42.64108271917644,1.770981990444804,5.349193773562932,0.04142055612959605,7.161596320137332
2012-04-01,7.164925245786825,7.617808482846341,6.666989278788071,21.44972300742123,10.92942923345746,18.18435053318989,3.559990892091074,32.67377065873842,15.84715884278652,23.23702561514111,6.039347821251679,45.12353227917932,1.975812190394541,5.68158856750141,0.2779838537303944,7.935384611626346
2012-07-01,6.896930259386861,8.413522685426138,7.906408093642312,23.21686103845531,9.854359153607202,15.37302111199483,4.467881487670612,29.69526175327265,14.16965288850882,21.08074266793043,10.38633565556163,45.63673121200087,2.04450315406537,5.378662926497024,0.3968290509434612,7.819995131505856
2012-10-01,9.785367297217856,8.942938107123576,10.17283749459822,28.90114289893966,9.691043869477904,19.84240530342861,6.732905280028668,36.26635445293518,14.55712102500968,21.49630731201057,11.76515330636803,47.81858164338828,2.055651911813345,6.099020405557821,0.963068543502967,9.117740860874132
2013-01-01,7.459855474204744,8.58504040341317,13.09693077259876,29.14182665021667,7.707693513410067,14.82258039688889,5.616339742932353,28.14661365323131,11.67498144935553,16.28269816858815,12.25259395619822,40.21027357414191,0.8597734547086325,4.275031331700671,0.2479626961894711,6.821120561749506
2013-04-01,5.468765646090457,7.17621189285285,3.924612238745274,25.72701833476088,6.878110640564242,17.70628377731343,15.96943790739154,32.1888886594927,10.65443837853415,15.15598685740686,11.69385814682432,37.50428338276532,1.712061643680673,5.513785636579799,1.622368604129887,8.84821588439036
2013-07-01,5.642530287749445,6.698960951988756,12.094712422981999,24.4362036627202,11.84258330408795,17.6853753957798,8.871610477981491,32.47827752580527,9.908899115666996,17.34224976505668,11.97664329280297,39.22779217352664,1.093199650152106,5.1556428761631,2.313683252765387,8.562525779080591
2013-10-01,5.225747598232264,4.343524546296127,12.47069908122146,22.03997122574985,7.352151380926977,18.97387909663051,10.88056087629319,37.20659135385068,10.18001215717624,19.0427352674459,31.13150836243129,60.35425578705342,1.36699562584325,6.377682853564551,3.162957193540465,10.90763567294827
2014-01-01,2.657332263515567,5.237061371726713,14.38947884135597,22.28387247659825,4.645012085521028,15.01724882584489,8.817374831663,28.47963574302892,6.090488072809819,13.4083933335675,24.7630921372046,44.26197354358192,0.8643978242186178,4.988501022032959,2.023016571894265,7.875915418145842
2014-04-01,2.226679345327168,3.982417723592289,19.08060318061008,25.28970024952954,5.136893253692854,15.02054330487623,10.80323654779273,30.96067310636181,6.654405145483683,13.98507107988931,9.89726066345448,53.63034510355459,1.073916615289597,4.743933684650917,2.485585183537409,8.303435483477923
2014-07-01,2.107031726949104,3.586551177682371,19.42711136737396,25.12069427200544,4.871326458136613,16.66082070371462,13.69541081771355,35.22755797956479,6.419238297387676,13.49028753776788,29.91641923618782,49.82594507134338,0.9669786045138382,4.467985965949723,2.602427774510065,8.037392344973625
2014-10-01,1.401888908187724,3.341554810722928,14.99911826382924,19.74256198273989,4.772676479179418,17.21953089895803,14.86514045894177,36.85734783707922,5.99000155445356,14.9656167820179,32.84013251744421,53.79575085391566,0.8981097027909322,4.697867451029778,3.381408562427135,8.977385716247845
2015-01-01,0.9195516596353528,2.672412793417858,14.99444950579704,10.936983684359886,3.047326083119259,10.67622901415032,11.28871378520939,25.01226888247896,3.942033898636472,14.37713341214256,31.70898695314886,50.02815426392789,0.5866335792006636,2.90549368873575,2.371405538750992,5.863532806687406
2015-04-01,0.6243106411397272,2.632677971480211,17.35298691107862,20.60997552369856,3.481060222364116,14.17268352568393,14.96219165815449,32.61593540620254,3.949417545172921,19.01489959598891,40.57400878558436,63.5383259267462,0.5643120542543425,6.299774025870205,2.822723774211234,6.386928221737103
2015-07-01,0.7468581774768605,1.908774559562459,16.7293974278286,19.38503016486792,2.898731110713668,22.03948747110903,12.21219259713581,26.7106539558016,3.945044184866894,14.49285260205261,37.26906085552067,55.70695764244017,0.2029013829102279,3.16340464594751,3.261096888062818,6.931754991285898
2015-10-01,0.5513038794733593,1.840236339087228,20.36698197025563,22.75852218881622,3.422681561293781,14.05795705132141,13.52265881550206,31.00329742811725,4.008264080169425,12.01879562160678,41.79095621821747,57.81801591999368,0.6053540461121967,3.436220245330084,3.573926566903953,7.615500858346234
2016-01-01,0.3414569235171357,1.113458754501293,16.39091297092852,17.84582864894695,2.057824271899517,8.583577187020687,9.430888958367934,42.15180987630509,2.713950229261947,9.087621684779082,34.3562374633393,46.15780937738032,0.3306401867872996,2.365773599642073,2.291445123959542,4.987858910388914
2016-04-01,0.2608016983057678,1.221369570459354,16.04504013573797,17.52721140450309,2.219076655536456,9.988111526574627,13.42968486256549,25.63687304467657,2.467006605060059,3.549986032133819,40.50268419424143,51.84465587963604,0.3684017636580416,2.637033394971993,2.242007530211756,5.247442688841791
2016-07-01,0.2315234165731615,0.9351766708682476,17.22144586627387,18.38814595371528,1.737422362014713,7.471421155542044,11.28114487731187,20.48998839486863,2.262145596853115,9.43869087594511,40.44384052303616,52.14467699583438,,2.41661430862258,2.608498080419816,
2016-10-01,0.248419798100519,0.9954747519490104,20.04034976129673,21.28424431134626,2.060815257663853,10.28367850299222,15.48989004269005,27.83438380334612,2.351494108332241,11.54773319979576,44.95595755090802,58.85518485903602,0.3464276835232957,2.392760673111756,3.304593560775834,6.043781917410885
